date,total_assets,securities_value,cash,cum_fees,cum_interest,cum_realized_pnl,unrealized_pnl
2026-03-27,2223.0508,2243.2137,-20.1629,17.8329,0.0,-7.0447,-257.0231
2026-03-28,2223.0508,2243.2137,-20.1629,17.8329,0.0,-7.0447,-257.0231
2026-03-29,2223.0508,2243.2137,-20.1629,17.8329,0.0,-7.0447,-257.0231
2026-03-30,2210.3281,2230.491,-20.1629,17.8329,0.0,-7.0447,-269.7458
2026-03-31,2296.1919,2316.3548,-20.1629,17.8329,0.0,-7.0447,-183.882
2026-04-01,2324.3232,2344.4861,-20.1629,17.8329,0.0,-7.0447,-155.7507
2026-04-02,2338.3958,2358.5587,-20.1629,17.8329,0.0,-7.0447,-141.6781
2026-04-03,2338.3958,2358.5587,-20.1629,17.8329,0.0,-7.0447,-141.6781
2026-04-04,2338.3958,2358.5587,-20.1629,17.8329,0.0,-7.0447,-141.6781
2026-04-05,2338.3958,2358.5587,-20.1629,17.8329,0.0,-7.0447,-141.6781
2026-04-06,2351.5292,2371.6921,-20.1629,17.8329,0.0,-7.0447,-128.5447
2026-04-07,2352.1433,2372.3062,-20.1629,17.8329,0.0,-7.0447,-127.9306
2026-04-08,2423.187,2019.302,403.885,20.815,0.0,-17.4266,-46.5057
2026-04-09,2440.7398,2036.8548,403.885,20.815,0.0,-17.4266,-28.953
2026-04-10,2457.8595,1974.5068,483.3527,21.8073,0.0,-7.2647,-21.9907
2026-04-11,2457.8595,1974.5068,483.3527,21.8073,0.0,-7.2647,-21.9907
2026-04-12,2457.8595,1974.5068,483.3527,21.8073,0.0,-7.2647,-21.9907
2026-04-13,2455.2036,2226.8434,228.3602,27.7598,0.0,-19.9835,-7.9666
2026-04-14,2483.9624,2255.6022,228.3602,27.7598,0.0,-19.9835,20.7922
2026-04-15,2496.0289,2267.6687,228.3602,27.7598,0.0,-19.9835,32.8587
2026-04-16,2500.6349,2272.2747,228.3602,27.7598,0.0,-19.9835,37.4647
2026-04-17,2524.4149,2296.0547,228.3602,27.7598,0.0,-19.9835,61.2447
2026-04-18,2524.4149,2296.0547,228.3602,27.7598,0.0,-19.9835,61.2447
2026-04-19,2524.4149,2296.0547,228.3602,27.7598,0.0,-19.9835,61.2447
2026-04-20,2516.4678,2485.2379,31.2299,31.7301,0.0,-15.3864,51.6709
2026-04-21,2505.2553,2474.0254,31.2299,31.7301,0.0,-15.3864,40.4584
2026-04-22,2527.5737,2496.1538,31.4199,31.7301,0.19,-15.3864,62.5867
